"regime","sample_size","horizon","method_a","method_b","loss","replications","mean_dm_stat","mean_p_value","rejection_rate_5pct","share_favoring_method_a","share_favoring_method_b"
"linear_ar2",200,1,"GR","XGB_STACK","absolute",2,-0.622011673048074,0.560597583263231,0,1,0
"linear_ar2",200,1,"GR","XGB_STACK","squared",2,-0.671058840036054,0.586979089991712,0,1,0
"linear_ar2",200,1,"SA","BG","absolute",2,0.0996868121133159,0.496678620321168,0,0.5,0.5
"linear_ar2",200,1,"SA","BG","squared",2,-0.235692952972856,0.813682410328931,0,1,0
"linear_ar2",200,1,"SA","BMA_DMA","absolute",2,-1.42250388775326,0.191408288932157,0,1,0
"linear_ar2",200,1,"SA","BMA_DMA","squared",2,-1.46884173504659,0.180496063043543,0,1,0
"linear_ar2",200,1,"SA","GR","absolute",2,-1.14868104278008,0.347676101408246,0,1,0
"linear_ar2",200,1,"SA","GR","squared",2,-1.73629422033384,0.0832327564781089,0,1,0
"linear_ar2",200,1,"SA","SL","absolute",2,-1.92299707611442,0.125515409808202,0.5,1,0
"linear_ar2",200,1,"SA","SL","squared",2,-1.28756661155743,0.255338382886681,0,1,0
"linear_ar2",200,1,"SA","XGB_STACK","absolute",2,-2.14570434493181,0.0916546901820763,0.5,1,0
"linear_ar2",200,1,"SA","XGB_STACK","squared",2,-2.36024955940312,0.0285291339213943,0.5,1,0
"linear_ar2",200,1,"SL","XGB_STACK","absolute",2,-1.18674167129687,0.239867837390404,0,1,0
"linear_ar2",200,1,"SL","XGB_STACK","squared",2,-1.57549733913019,0.119167914954613,0,1,0
"linear_ar2",200,3,"BG","BMA_DMA","absolute",2,-1.00491657465201,0.520594162462068,0.5,0.5,0.5
"linear_ar2",200,3,"BG","BMA_DMA","squared",2,-0.360458576837458,0.703330057809897,0,0.5,0.5
"linear_ar2",200,3,"BG","GR","absolute",2,0.129273468435616,0.355094124406867,0,0.5,0.5
"linear_ar2",200,3,"BG","GR","squared",2,0.694449997386917,0.464475705212204,0,0.5,0.5
"linear_ar2",200,3,"BG","SL","absolute",2,-1.07983259233499,0.480635575430287,0.5,1,0
"linear_ar2",200,3,"BG","SL","squared",2,-0.268388831555243,0.789604560263097,0,1,0
"linear_ar2",200,3,"BG","XGB_STACK","absolute",2,-0.763179168523147,0.493338133490433,0,1,0
"linear_ar2",200,3,"BG","XGB_STACK","squared",2,-0.0312176366847855,0.97510697705253,0,1,0
"linear_ar2",200,3,"BMA_DMA","SL","absolute",2,0.747716497596119,0.471116929023259,0,0.5,0.5
"linear_ar2",200,3,"BMA_DMA","SL","squared",2,0.299914179243469,0.455938347449582,0,0.5,0.5
"linear_ar2",200,3,"BMA_DMA","XGB_STACK","absolute",2,0.457798328176463,0.50832328850616,0,0.5,0.5
"linear_ar2",200,3,"BMA_DMA","XGB_STACK","squared",2,0.498090380866719,0.65173000974762,0,0.5,0.5
"linear_ar2",200,3,"GR","BMA_DMA","absolute",2,-1.25763683156383,0.224980520585948,0,1,0
"linear_ar2",200,3,"GR","BMA_DMA","squared",2,-1.0145566679804,0.333533609218915,0,1,0
"linear_ar2",200,3,"GR","SL","absolute",2,-0.948072760153766,0.344182683259975,0,1,0
"linear_ar2",200,3,"GR","SL","squared",2,-0.739280904250993,0.553449959598078,0,1,0
"linear_ar2",200,3,"GR","XGB_STACK","absolute",2,-1.0315427335551,0.338866029428698,0,1,0
"linear_ar2",200,3,"GR","XGB_STACK","squared",2,-0.398167178454394,0.629866216415771,0,0.5,0.5
"linear_ar2",200,3,"SA","BG","absolute",2,-0.799796954567411,0.507567807320407,0,1,0
"linear_ar2",200,3,"SA","BG","squared",2,0.0899185764829507,0.773077616341086,0,0.5,0.5
"linear_ar2",200,3,"SA","BMA_DMA","absolute",2,-1.01055516095542,0.512880594110298,0.5,1,0
"linear_ar2",200,3,"SA","BMA_DMA","squared",2,-0.354067515229944,0.726879707007236,0,0.5,0.5
"linear_ar2",200,3,"SA","GR","absolute",2,0.0792282271739232,0.336045748999166,0,0.5,0.5
"linear_ar2",200,3,"SA","GR","squared",2,0.700381719291436,0.477793442137025,0,0.5,0.5
"linear_ar2",200,3,"SA","SL","absolute",2,-1.07661531093366,0.469273272203543,0.5,1,0
"linear_ar2",200,3,"SA","SL","squared",2,-0.252164776361214,0.801401431434187,0,1,0
"linear_ar2",200,3,"SA","XGB_STACK","absolute",2,-0.795125914751806,0.480154968892166,0,1,0
"linear_ar2",200,3,"SA","XGB_STACK","squared",2,-0.0254631063817314,0.979688448326381,0,1,0
"linear_ar2",200,3,"SL","XGB_STACK","absolute",2,-0.0620813144963795,0.84913588973906,0,0.5,0.5
"linear_ar2",200,3,"SL","XGB_STACK","squared",2,0.121221710071453,0.903904714251776,0,0,1
"nonlinear_threshold",200,1,"BG","BMA_DMA","absolute",2,-0.633093254938684,0.526904798694141,0,1,0
"nonlinear_threshold",200,1,"BG","BMA_DMA","squared",2,-0.764658323994851,0.457182568265465,0,1,0
"nonlinear_threshold",200,1,"BG","GR","absolute",2,-1.9222939475711,0.0662390573979872,0.5,1,0
"nonlinear_threshold",200,1,"BG","GR","squared",2,-2.17596467744373,0.031359381135811,1,1,0
"nonlinear_threshold",200,1,"BG","SL","absolute",2,-0.548406421588079,0.634744033173809,0,1,0
"nonlinear_threshold",200,1,"BG","SL","squared",2,-0.955424025268092,0.381346109955216,0,1,0
"nonlinear_threshold",200,1,"BG","XGB_STACK","absolute",2,-1.65776403204566,0.119010707931253,0.5,1,0
"nonlinear_threshold",200,1,"BG","XGB_STACK","squared",2,-1.82228552626098,0.107551045084875,0.5,1,0
"nonlinear_threshold",200,1,"BMA_DMA","SL","absolute",2,0.308877801344179,0.483972654927874,0,0.5,0.5
"nonlinear_threshold",200,1,"BMA_DMA","SL","squared",2,0.145256517457561,0.391209825592515,0,0.5,0.5
"nonlinear_threshold",200,1,"BMA_DMA","XGB_STACK","absolute",2,-1.22944475516616,0.296100603734249,0,1,0
"nonlinear_threshold",200,1,"BMA_DMA","XGB_STACK","squared",2,-1.39548867317392,0.30994868902089,0.5,1,0
"nonlinear_threshold",200,1,"GR","BMA_DMA","absolute",2,1.71940008568003,0.105051201307692,0.5,0,1
"nonlinear_threshold",200,1,"GR","BMA_DMA","squared",2,1.87834717517763,0.069724352937739,0.5,0,1
"nonlinear_threshold",200,1,"GR","SL","absolute",2,1.89668637843212,0.0612821011833694,0.5,0,1
"nonlinear_threshold",200,1,"GR","SL","squared",2,1.98878859193814,0.047252179956997,0.5,0,1
