"regime","sample_size","horizon","replication","initial_train_size","evaluation_origins","method","rmse","mae","mase","relative_rmse","computation_time_seconds","xgb_stack_engine"
"nonlinear_threshold",200,3,1,100,98,"SL",1.11700767961051,0.873918438942857,0.885536040846401,0.992528837794743,0.499999999999986,""
"nonlinear_threshold",200,3,1,100,98,"XGB_STACK",1.12771731570251,0.863273401850946,0.874749491918064,1.00204499677702,0.860000000000028,"xgboost"
"nonlinear_threshold",200,1,2,100,100,"SA",0.990912902505001,0.802956978850338,0.913678993834102,1,0,""
"nonlinear_threshold",200,1,2,100,100,"BG",0.991139973300631,0.802969979167218,0.913693786801545,1.00022915313249,0.0100000000000051,""
"nonlinear_threshold",200,1,2,100,100,"GR",1.069833774832,0.851279413103403,0.968664745587788,1.0796446106691,0,""
"nonlinear_threshold",200,1,2,100,100,"BMA_DMA",1.01368531391923,0.814792977521838,0.927147091929073,1.02298124422103,0,""
"nonlinear_threshold",200,1,2,100,100,"SL",0.999925558595861,0.803112888216601,0.913856401985035,1.00909530602344,1.28000000000003,""
"nonlinear_threshold",200,1,2,100,100,"XGB_STACK",1.03827362420169,0.83766226195512,0.953169886849698,1.04779503988389,0.96999999999997,"xgboost"
"nonlinear_threshold",200,3,2,100,98,"SA",1.1342399899274,0.929003604103674,1.05710654570935,1,0,""
"nonlinear_threshold",200,3,2,100,98,"BG",1.13378427834768,0.928208117133211,1.05620136678455,0.99959822296536,0.0299999999999869,""
"nonlinear_threshold",200,3,2,100,98,"GR",1.18582154004434,0.940253834544822,1.06990810233146,1.04547675145913,0,""
"nonlinear_threshold",200,3,2,100,98,"BMA_DMA",1.14562821616062,0.926195890185951,1.05391166815689,1.01004040267875,0,""
"nonlinear_threshold",200,3,2,100,98,"SL",1.14111743119674,0.941562829221952,1.07139759799691,1.00606347980182,0.899999999999991,""
"nonlinear_threshold",200,3,2,100,98,"XGB_STACK",1.12450360682909,0.914015420069747,1.0400515984728,0.991415940907766,0.850000000000023,"xgboost"
"structural_break",200,1,1,100,100,"SA",1.14643995780303,0.873397844824074,1.1124627631459,1,0,""
"structural_break",200,1,1,100,100,"BG",1.11952129126438,0.856969528375643,1.09153771688163,0.976519776412682,0,""
"structural_break",200,1,1,100,100,"GR",1.07217813884428,0.828786227805219,1.05564013296503,0.935223978845729,0,""
"structural_break",200,1,1,100,100,"BMA_DMA",1.04292480979142,0.794645395967942,1.0121543328261,0.909707309739981,0.0100000000000051,""
"structural_break",200,1,1,100,100,"SL",1.02600685133417,0.795048482760584,1.012667751825,0.894950358586891,0.140000000000001,""
"structural_break",200,1,1,100,100,"XGB_STACK",1.03212079057899,0.794876077377039,1.01244815594381,0.900283336736517,0.830000000000013,"xgboost"
"structural_break",200,3,1,100,98,"SA",1.07618637192016,0.817722363521509,1.04154788725471,1,0.0100000000000051,""
"structural_break",200,3,1,100,98,"BG",1.06049786234411,0.807373501705393,1.02836635322689,0.985422125771707,0,""
"structural_break",200,3,1,100,98,"GR",1.11582529573979,0.842663073471943,1.07331532436336,1.03683276879719,0.0100000000000051,""
"structural_break",200,3,1,100,98,"BMA_DMA",1.03158571673675,0.78555895122296,1.00058076244454,0.958556755272942,0,""
"structural_break",200,3,1,100,98,"SL",1.03043538666221,0.786059928940155,1.00121886689928,0.95748786041927,1.28999999999994,""
"structural_break",200,3,1,100,98,"XGB_STACK",1.12475503610151,0.859268866694579,1.09446642603159,1.0451303467955,0.870000000000061,"xgboost"
"structural_break",200,1,2,100,100,"SA",1.27815040317684,1.02331911668295,1.01049941548709,1,0,""
"structural_break",200,1,2,100,100,"BG",1.26447811247108,1.0138702527292,1.00116892283175,0.989303065842819,0,""
"structural_break",200,1,2,100,100,"GR",1.23056191119419,0.968191796675354,0.95606270680367,0.962767690043079,0,""
"structural_break",200,1,2,100,100,"BMA_DMA",1.24361972369522,0.990923724490133,0.978509858816413,0.972983868411893,0,""
"structural_break",200,1,2,100,100,"SL",1.23303918192895,0.981661682789195,0.969363847985156,0.964705858453147,1.79000000000003,""
"structural_break",200,1,2,100,100,"XGB_STACK",1.22498854485679,0.968885148605327,0.95674737271926,0.958407196689911,0.889999999999958,"xgboost"
"structural_break",200,3,2,100,98,"SA",1.18798856567004,0.899115161141582,0.887851433611636,1,0,""
"structural_break",200,3,2,100,98,"BG",1.18617841116386,0.894920940042528,0.883709755908247,0.998476286255195,0.019999999999996,""
"structural_break",200,3,2,100,98,"GR",1.1618167089506,0.905880097161729,0.89453162142668,0.977969605536837,0,""
"structural_break",200,3,2,100,98,"BMA_DMA",1.18930987204679,0.890794184192308,0.879634698278109,1.00111222145981,0,""
"structural_break",200,3,2,100,98,"SL",1.18813081297156,0.908377558941343,0.896997796080664,1.00011973793825,0.59999999999998,""
"structural_break",200,3,2,100,98,"XGB_STACK",1.19035146422729,0.909363773395742,0.897971655665097,1.00198899099328,0.710000000000022,"xgboost"
"heteroskedastic",200,1,1,100,100,"SA",1.01099154059767,0.824169334574883,0.904877035137992,1,0,""
"heteroskedastic",200,1,1,100,100,"BG",1.01076239812212,0.82494269863107,0.905726131731238,0.999773348770637,0,""
"heteroskedastic",200,1,1,100,100,"GR",1.27264993343058,0.897673134502771,0.985578776588288,1.2588136322864,0.0100000000000051,""
"heteroskedastic",200,1,1,100,100,"BMA_DMA",1.03731161740293,0.846235154367683,0.929103674924702,1.02603392387408,0,""
"heteroskedastic",200,1,1,100,100,"SL",1.02595652955734,0.84099490897158,0.923350272658326,1.01480228899919,1.73,""
"heteroskedastic",200,1,1,100,100,"XGB_STACK",1.10594638374196,0.898893376480135,0.986918512121153,1.09392249027935,0.759999999999991,"xgboost"
"heteroskedastic",200,3,1,100,98,"SA",1.22844646094546,0.960272570254489,1.05430833184837,1,0,""
"heteroskedastic",200,3,1,100,98,"BG",1.22782272461756,0.962656928075284,1.05692618056595,0.999492255993459,0,""
